Date_Forecast,Forecast
2025-08-30,9085.913
2025-08-31,9009.705
2025-09-01,8930.553
2025-09-02,8850.928
2025-09-03,8772.579
2025-09-04,8696.705
2025-09-05,8624.024
2025-09-06,8554.886
2025-09-07,8489.363
2025-09-08,8427.328
